domain,global_rank_may_2026,latest_month_visits_apr_2026,avg_monthly_visits_nov2025_apr2026,desktop_search_visits_feb_apr_2026,desktop_direct_visits_feb_apr_2026,desktop_referral_visits_feb_apr_2026,desktop_social_visits_feb_apr_2026,search_share_observed_desktop,referral_share_observed_desktop
247sports.com,1812,31420240,31420080,7853665,12271226,1025173,336817,0.366,0.048
on3.com,2175,27179276,31518310,5659303,12561554,859978,742404,0.285,0.043
hudl.com,4755,9203775,10359983,5854223,8817687,623911,328850,0.375,0.04
ncsasports.org,18398,2937629,2793320,1857275,1363391,98393,22067,0.556,0.029
sportsrecruits.com,60119,702079,698007,602498,513904,45118,18846,0.51,0.038
opendorse.com,394132,102801,115414,56862,74527,15410,1767,0.383,0.104
stackathlete.com,317173,96531,102553,23897,62579,4779,485,0.26,0.052
nilclub.com,449377,63029,67107,10459,14153,1183,1623,0.381,0.043
biz.opendorse.com,,13173,9981,5739,9427,1053,1578,0.322,0.059
mogl.online,1597858,8897,6478,2653,4620,611,1307,0.289,0.067
